Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.5972580699225689,0.574111914492298,0.7381770412287793,0.6458885941644562
XGBoost,0.5951965943753561,0.5939186208300811,0.5894974400431151,0.5916997717859861
Neural Network,0.5977105889451279,0.5731792086090158,0.7499326327135543,0.6497497482890955
